"CODIGO_
ENTIDAD";"CODIGO_
UBIGEO";"CODIGO_
PAIS";DEPARTAMENTO;PROVINCIA;DISTRITO;NOMBRE_UO;GOBIERNO_LOCAL;RUC_GOBIERNO_LOCAL;"AÑO_
GASTO";"MES_
GASTO";USO_DEPENDENCIA;"NRO_PLACA
COD_VEHICULO";"NUMERO_
VALE";"FECHA_
CONSUMO";PERIODO;TIPOCOMBUSTIBLE;PRECIOGALON;CANTIDADGALONES;MONTOCONSUMO;"FECHA_
CORTE"
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;GERENCIA DE SALUD;CIU-067;57101;20210104;1er QUINCENA;GASOHOL 90;10.45;10.478;109.5;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-5058;57102;20210104;1er QUINCENA;DIESEL;10.96;13.594;148.99;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-9503;57103;20210104;1er QUINCENA;DIESEL;10.96;13.242;145.13;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-5823;57104;20210104;1er QUINCENA;DIESEL;10.96;9.358;102.56;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-053;57105;20210104;1er QUINCENA;DIESEL;10.96;9.005;98.69;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-3483;57106;20210104;1er QUINCENA;DIESEL;10.96;15.078;165.25;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-101;57107;20210104;1er QUINCENA;DIESEL;10.96;13.054;143.07;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-6147;57108;20210104;1er QUINCENA;DIESEL;10.96;7.871;86.27;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-7019;57109;20210104;1er QUINCENA;DIESEL;10.96;13.511;148.08;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-9100;57110;20210104;1er QUINCENA;DIESEL;10.96;4.266;46.76;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-092;57111;20210104;1er QUINCENA;DIESEL;10.96;6.876;75.36;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-056;57112;20210104;1er QUINCENA;DIESEL;10.96;15.636;171.37;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUB-980;57113;20210104;1er QUINCENA;DIESEL;10.96;12.431;136.24;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUB-981;57114;20210104;1er QUINCENA;DIESEL;10.96;13.581;148.85;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;MANTENIMIENTO;PGO-961;57115;20210104;1er QUINCENA;DIESEL;10.96;10.595;116.12;20211231
