MES_GASTO;USO_DEPENDENCIA;PERIODO;TIPOCOMBUSTIBLE;PRECIOGALON;CANTIDADGALONES;MONTOCONSUMO
1;2;1;1;11.15;23.683;264.07
1;4;1;1;11.15;8.618;96.09
1;3;1;1;11.15;15.962;177.98
1;4;1;1;11.15;9.762;108.85
1;3;1;1;11.15;64.294;716.88
1;1;1;1;11.15;9.085;101.3
1;1;1;1;11.15;10.693;119.23
1;1;1;3;16.69;10.032;167.43
1;5;1;2;10.45;8.804;92
1;1;1;2;10.45;1.492;15.59
1;1;1;2;10.45;1.039;10.86
1;1;1;2;10.45;1.873;19.57
1;1;1;2;10.45;7.334;76.64
1;1;1;2;10.45;2.336;24.41
1;1;1;2;10.45;1.615;16.88
1;5;1;2;10.45;1.107;11.57
1;1;1;2;10.45;1.414;14.78
1;1;1;2;10.45;3.087;32.26
1;1;1;2;10.45;2.018;21.09
1;1;1;2;10.45;1.163;12.15
1;3;1;2;10.45;70;731.5
1;1;1;2;10.45;3.128;32.69
1;1;1;2;10.45;5.265;55.02
1;1;1;2;10.45;3.142;32.83
1;1;2;1;11.15;17.579;196.01
1;1;2;1;11.15;14.917;166.32
1;1;2;1;11.15;14.464;161.27
1;1;2;1;11.15;15.428;172.02
1;1;2;1;11.15;14.263;159.03
1;1;2;1;11.15;14.384;160.38
1;1;2;1;11.15;10.805;120.48
1;4;2;1;11.15;12.968;144.59
1;1;2;1;11.15;13.239;147.61
1;1;2;1;11.15;15.512;172.96
1;1;2;1;11.15;13.681;152.54
1;1;2;1;11.15;14.627;163.09
1;1;2;1;11.15;17.112;190.8
1;1;2;1;11.15;9.71;108.27
1;1;2;1;11.15;13.965;155.71
1;1;2;1;11.15;13.176;146.91
1;1;2;1;11.15;15.778;175.92
1;1;2;1;11.15;15.1;168.37
1;4;2;1;11.15;9.754;108.76
1;6;2;1;11.15;11.244;125.37
1;1;2;1;11.15;14.26;159
1;3;2;1;11.15;9.807;109.35
1;1;2;1;11.15;10.386;115.8
1;2;2;1;11.15;18.719;208.72
1;4;2;1;11.15;9.522;106.17
1;3;2;1;11.15;38.521;429.51
1;2;2;1;11.15;14.233;158.7
1;3;2;1;11.15;13.463;150.11
1;2;2;1;11.15;35.645;397.44
1;5;2;1;11.15;9.71;108.27
1;2;2;1;11.15;17.776;198.2
1;3;2;1;11.15;27.783;309.78
1;1;2;2;10.45;2.605;27.22
1;1;2;2;10.45;3.059;31.97
1;5;2;2;10.45;7.179;75.02
1;1;2;2;10.45;3.098;32.37
1;1;2;2;10.45;1.901;19.87
1;1;2;2;10.45;1.847;19.3
1;5;2;2;10.45;0.608;6.35
1;1;2;2;10.45;2.526;26.4
1;1;2;2;10.45;2.015;21.06
1;1;2;2;10.45;2.399;25.07
1;1;2;2;10.45;2.068;21.61
1;1;2;2;10.45;7.593;79.35
1;1;2;2;10.45;1.197;12.51
1;1;2;2;10.45;1.727;18.05
1;1;2;2;10.45;2.103;21.98
1;5;2;2;10.45;7.826;81.78
1;1;2;2;10.45;4.714;49.26
1;5;2;2;10.45;0.957;10
1;1;2;2;10.45;1.691;17.67
1;1;2;2;10.45;2.205;23.04
1;1;2;1;11.15;15.87;176.95
1;2;2;1;11.15;17.811;198.59
1;2;2;1;11.15;37.775;421.19
1;1;2;1;11.15;13.376;149.14
